"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-BH-A18M","MTOR",10.9758283403,0.707232996822,"BRCA","TP","RSEM",2475
"TCGA-BH-A18M","MTOR",10.8084019451,0.299318605177,"BRCA","NT","RSEM",2475
"TCGA-EW-A424","MTOR",9.4220006216,-1.74759842072,"BRCA","TP","RSEM",2475
"TCGA-GM-A3XN","MTOR",10.269370654,-0.734170957721,"BRCA","TP","RSEM",2475
"TCGA-BH-A0BZ","MTOR",10.7517161011,0.171594838021,"BRCA","TP","RSEM",2475
"TCGA-BH-A0BZ","MTOR",10.9580808262,0.661716313972,"BRCA","NT","RSEM",2475
"TCGA-EW-A423","MTOR",9.47610763212,-1.69913927437,"BRCA","TP","RSEM",2475
"TCGA-BH-A0BW","MTOR",11.3478897867,1.80249987483,"BRCA","TP","RSEM",2475
"TCGA-BH-A0BW","MTOR",10.8745483205,0.454844012646,"BRCA","NT","RSEM",2475
"TCGA-A7-A13F","MTOR",10.5756379442,-0.194597868618,"BRCA","TP","RSEM",2475
"TCGA-A7-A13F","MTOR",10.784110342,0.243970049688,"BRCA","NT","RSEM",2475
"TCGA-A7-A13G","MTOR",11.0510363103,0.906453746969,"BRCA","TP","RSEM",2475
"TCGA-A7-A13G","MTOR",10.8009472881,0.282233905681,"BRCA","NT","RSEM",2475
"TCGA-A7-A13E","MTOR",11.0699024435,0.958079581486,"BRCA","TP","RSEM",2475
"TCGA-A7-A13E","MTOR",10.9852850972,0.731716186025,"BRCA","NT","RSEM",2475
"TCGA-A2-A3XT","MTOR",10.470749459,-0.392417075966,"BRCA","TP","RSEM",2475
"TCGA-A2-A3XS","MTOR",9.724560919,-1.45172889111,"BRCA","TP","RSEM",2475
"TCGA-AO-A1KR","MTOR",10.2535352808,-0.759075792812,"BRCA","TP","RSEM",2475
"TCGA-E2-A1LI","MTOR",10.5889623082,-0.168422920026,"BRCA","TP","RSEM",2475
"TCGA-E2-A1L6","MTOR",10.7850846771,0.246172183604,"BRCA","TP","RSEM",2475
"TCGA-E2-A1L7","MTOR",10.8194678928,0.324843061932,"BRCA","TP","RSEM",2475
"TCGA-E2-A1L7","MTOR",10.9429896074,0.623450239763,"BRCA","NT","RSEM",2475
"TCGA-A2-A0T1","MTOR",10.9853918427,0.731993463023,"BRCA","TP","RSEM",2475
"TCGA-A2-A0T5","MTOR",10.5930492243,-0.16034584108,"BRCA","TP","RSEM",2475
"TCGA-A2-A0T4","MTOR",10.0135669407,-1.10486017301,"BRCA","TP","RSEM",2475
"TCGA-A2-A0T7","MTOR",10.500244765,-0.338234747529,"BRCA","TP","RSEM",2475
"TCGA-A2-A0T6","MTOR",11.0138213535,0.806575799593,"BRCA","TP","RSEM",2475
"TCGA-S3-AA14","MTOR",11.5564966187,2.55206352238,"BRCA","TP","RSEM",2475
"TCGA-BH-A8G0","MTOR",10.4908326299,-0.355645155072,"BRCA","TP","RSEM",2475
"TCGA-A2-A04X","MTOR",10.4151228398,-0.491636028344,"BRCA","TP","RSEM",2475
"TCGA-D8-A1XC","MTOR",11.0076592364,0.790285036567,"BRCA","TP","RSEM",2475
"TCGA-E2-A10C","MTOR",10.1056568659,-0.978915784771,"BRCA","TP","RSEM",2475
"TCGA-AR-A5QM","MTOR",10.1521360012,-0.912231036504,"BRCA","TP","RSEM",2475
"TCGA-A2-A04Q","MTOR",10.3353231316,-0.627454250471,"BRCA","TP","RSEM",2475
"TCGA-A2-A04T","MTOR",10.9049452531,0.528740920477,"BRCA","TP","RSEM",2475
"TCGA-LL-A73Z","MTOR",10.0919221972,-0.998213524412,"BRCA","TP","RSEM",2475
"TCGA-V7-A7HQ","MTOR",9.82124032524,-1.34333632169,"BRCA","TP","RSEM",2475
"TCGA-B6-A409","MTOR",9.75473888356,-1.41867118803,"BRCA","TP","RSEM",2475
"TCGA-A7-A26E","MTOR",11.1316609877,1.13187828251,"BRCA","TP","RSEM",2475
"TCGA-D8-A27M","MTOR",11.4876457693,2.29259325338,"BRCA","TP","RSEM",2475
"TCGA-D8-A27H","MTOR",11.4226878191,2.05888941153,"BRCA","TP","RSEM",2475
"TCGA-D8-A27E","MTOR",10.9815877592,0.722124804969,"BRCA","TP","RSEM",2475
"TCGA-D8-A27G","MTOR",11.4204952974,2.05118332921,"BRCA","TP","RSEM",2475
"TCGA-AO-A03R","MTOR",10.4333150278,-0.459607392626,"BRCA","TP","RSEM",2475
"TCGA-LL-A5YP","MTOR",11.3913815144,1.94995929443,"BRCA","TP","RSEM",2475
"TCGA-EW-A1P5","MTOR",10.7962368502,0.271483876476,"BRCA","TP","RSEM",2475
"TCGA-AO-A03P","MTOR",10.4101487884,-0.500323116685,"BRCA","TP","RSEM",2475
"TCGA-A8-A07J","MTOR",10.9066831933,0.533013204459,"BRCA","TP","RSEM",2475
"TCGA-A7-A26J","MTOR",11.1501316811,1.18531972681,"BRCA","TP","RSEM",2475
"TCGA-LL-A5YO","MTOR",10.0470761851,-1.0599597845,"BRCA","TP","RSEM",2475
"TCGA-E9-A1NF","MTOR",10.1108838941,-0.971523210307,"BRCA","TP","RSEM",2475
"TCGA-E9-A1NF","MTOR",10.8421773039,0.377841232737,"BRCA","NT","RSEM",2475
"TCGA-AN-A0AR","MTOR",9.99067341101,-1.1349419545,"BRCA","TP","RSEM",2475
"TCGA-AN-A0AL","MTOR",9.90347443017,-1.24524644125,"BRCA","TP","RSEM",2475
"TCGA-C8-A1HL","MTOR",10.5183591778,-0.304405659839,"BRCA","TP","RSEM",2475
"TCGA-A2-A0CO","MTOR",10.58071863,-0.184645657762,"BRCA","TP","RSEM",2475
"TCGA-AO-A0JF","MTOR",10.7131361912,0.0874932124138,"BRCA","TP","RSEM",2475
"TCGA-AO-A0JA","MTOR",10.3644302787,-0.578782340238,"BRCA","TP","RSEM",2475
