"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-AN-A0G0","IKBKB","9.39627874664",-0.862654315843,"BRCA","TP","RSEM",3551
"TCGA-AN-A0G0","MYCN","3.78407467017",-0.30292458783,"BRCA","TP","RSEM",4613
"TCGA-AN-A0G0","MYCL1","5.89482503738",-0.56745903179,"BRCA","TP","RSEM",4610
"TCGA-AN-A0G0","MYC","10.7330654167",-0.32702349544,"BRCA","TP","RSEM",4609
"TCGA-AN-A0G0","PRKAA2","8.11823148669",-0.144751224854,"BRCA","TP","RSEM",5563
"TCGA-AN-A0G0","RB1","9.85838918276",-0.462120161363,"BRCA","TP","RSEM",5925
"TCGA-AN-A0G0","STK11","9.5514162329",-0.530932035035,"BRCA","TP","RSEM",6794
"TCGA-AN-A0G0","TP53","8.72733985715",-1.42418883117,"BRCA","TP","RSEM",7157
"TCGA-E2-A10E","AKT3","8.43491798844",-0.438152563803,"BRCA","TP","RSEM",10000
"TCGA-E2-A10E","AKT2","10.9992797407",-0.583571567992,"BRCA","TP","RSEM",208
"TCGA-E2-A10E","AKT1","11.9972917724",-0.20903977452,"BRCA","TP","RSEM",207
"TCGA-E2-A10E","IKBKB","11.2502709377",0.59904924518,"BRCA","TP","RSEM",3551
"TCGA-E2-A10E","MYCN","7.00456768277",0.480592326682,"BRCA","TP","RSEM",4613
"TCGA-E2-A10E","MYCL1","5.59187386132",-0.60551181783,"BRCA","TP","RSEM",4610
"TCGA-E2-A10E","MYC","9.59070249832",-0.76553262895,"BRCA","TP","RSEM",4609
"TCGA-E2-A10E","PRKAA2","9.13083127967",0.333248292512,"BRCA","TP","RSEM",5563
"TCGA-E2-A10E","RB1","10.7906538661",1.1265240254,"BRCA","TP","RSEM",5925
"TCGA-E2-A10E","STK11","9.51799666368",-0.567417484943,"BRCA","TP","RSEM",6794
"TCGA-E2-A10E","TP53","11.3009354126",0.950537466272,"BRCA","TP","RSEM",7157
"TCGA-OL-A66K","AKT3","11.2662972061",2.34002905313,"BRCA","TP","RSEM",10000
"TCGA-OL-A66K","AKT2","11.256798563",-0.271469026169,"BRCA","TP","RSEM",208
"TCGA-OL-A66K","AKT1","11.4489242775",-0.83508303105,"BRCA","TP","RSEM",207
"TCGA-OL-A66K","IKBKB","11.113025849",0.415680677889,"BRCA","TP","RSEM",3551
"TCGA-OL-A66K","MYCN","4.99610849651",-0.178948739939,"BRCA","TP","RSEM",4613
"TCGA-OL-A66K","MYCL1","8.12163919023",0.172068289347,"BRCA","TP","RSEM",4610
"TCGA-OL-A66K","MYC","12.2700550423",1.19769171531,"BRCA","TP","RSEM",4609
"TCGA-OL-A66K","PRKAA2","6.29156488232",-0.482077501833,"BRCA","TP","RSEM",5563
"TCGA-OL-A66K","RB1","9.15453738897",-1.13738960941,"BRCA","TP","RSEM",5925
"TCGA-OL-A66K","STK11","10.5830209767",1.13300859103,"BRCA","TP","RSEM",6794
"TCGA-OL-A66K","TP53","10.789341925",0.0984120986256,"BRCA","TP","RSEM",7157
"TCGA-E2-A14N","AKT3","6.7858329952",-0.747489154421,"BRCA","TP","RSEM",10000
"TCGA-E2-A14N","AKT2","11.219279381",-0.320479710768,"BRCA","TP","RSEM",208
"TCGA-E2-A14N","AKT1","11.3298199906",-0.942360276059,"BRCA","TP","RSEM",207
"TCGA-E2-A14N","IKBKB","9.55514241805",-0.797585954821,"BRCA","TP","RSEM",3551
"TCGA-E2-A14N","MYCN","2.42242140005",-0.360444011533,"BRCA","TP","RSEM",4613
"TCGA-E2-A14N","MYCL1","7.52396648121",-0.146908181739,"BRCA","TP","RSEM",4610
"TCGA-E2-A14N","MYC","13.2169798225",3.3560324916,"BRCA","TP","RSEM",4609
"TCGA-E2-A14N","PRKAA2","5.6576457211",-0.529167228565,"BRCA","TP","RSEM",5563
"TCGA-E2-A14N","RB1","8.32530590488",-1.60683267654,"BRCA","TP","RSEM",5925
"TCGA-E2-A14N","STK11","9.28661482144",-0.798117275114,"BRCA","TP","RSEM",6794
"TCGA-E2-A14N","TP53","8.76820351646",-1.41041417456,"BRCA","TP","RSEM",7157
"TCGA-5T-A9QA","AKT3","5.43995551748",-0.835320900041,"BRCA","TP","RSEM",10000
"TCGA-5T-A9QA","AKT2","11.0212936458",-0.559015082765,"BRCA","TP","RSEM",208
"TCGA-5T-A9QA","AKT1","12.1402294707",-0.00283552717754,"BRCA","TP","RSEM",207
"TCGA-5T-A9QA","IKBKB","11.7360162168",1.40794346589,"BRCA","TP","RSEM",3551
"TCGA-5T-A9QA","MYCN","2.06491733241",-0.368486286693,"BRCA","TP","RSEM",4613
"TCGA-5T-A9QA","MYCL1","4.81980611163",-0.673001167846,"BRCA","TP","RSEM",4610
"TCGA-5T-A9QA","MYC","10.6555045165",-0.368985027331,"BRCA","TP","RSEM",4609
"TCGA-5T-A9QA","PRKAA2","4.3868454273",-0.579141134915,"BRCA","TP","RSEM",5563
"TCGA-5T-A9QA","RB1","9.61084730907",-0.737898437639,"BRCA","TP","RSEM",5925
"TCGA-5T-A9QA","STK11","10.2633625206",0.485651239956,"BRCA","TP","RSEM",6794
"TCGA-5T-A9QA","TP53","11.2326492459",0.818589392071,"BRCA","TP","RSEM",7157
"TCGA-E2-A14V","AKT3","8.57132526948",-0.393118644401,"BRCA","TP","RSEM",10000
"TCGA-E2-A14V","AKT2","11.2568788021",-0.271362839252,"BRCA","TP","RSEM",208
"TCGA-E2-A14V","AKT1","11.8603772513",-0.388291657054,"BRCA","TP","RSEM",207
"TCGA-E2-A14V","IKBKB","9.92490793799",-0.615277432208,"BRCA","TP","RSEM",3551
"TCGA-E2-A14V","MYCN","4.77393832086",-0.210082310505,"BRCA","TP","RSEM",4613
"TCGA-E2-A14V","MYCL1","7.19331343755",-0.274196841113,"BRCA","TP","RSEM",4610
"TCGA-E2-A14V","MYC","11.2066551884",-0.0155198202213,"BRCA","TP","RSEM",4609
"TCGA-E2-A14V","PRKAA2","8.37187768389",-0.0544559464602,"BRCA","TP","RSEM",5563
"TCGA-E2-A14V","RB1","10.3458040674",0.240892401748,"BRCA","TP","RSEM",5925
"TCGA-E2-A14V","STK11","9.82830455076",-0.193810792822,"BRCA","TP","RSEM",6794
"TCGA-E2-A14V","TP53","11.0407237658",0.47949792218,"BRCA","TP","RSEM",7157
"TCGA-AC-A23H","AKT3","8.54008269326",-0.403812261393,"BRCA","TP","RSEM",10000
"TCGA-AC-A23H","AKT3","10.8906897257",1.59912031042,"BRCA","NT","RSEM",10000
"TCGA-AC-A23H","AKT2","10.649158707",-0.927712598542,"BRCA","TP","RSEM",208
"TCGA-AC-A23H","AKT2","10.5847150798",-0.982448326185,"BRCA","NT","RSEM",208
"TCGA-AC-A23H","AKT1","12.558631075",0.732655623889,"BRCA","TP","RSEM",207
"TCGA-AC-A23H","AKT1","10.9945330554",-1.20085861489,"BRCA","NT","RSEM",207
"TCGA-AC-A23H","IKBKB","9.65954642916",-0.750751706077,"BRCA","TP","RSEM",3551
"TCGA-AC-A23H","IKBKB","10.0838105108",-0.521388282178,"BRCA","NT","RSEM",3551
"TCGA-AC-A23H","MYCN","7.76888630967",1.09370952057,"BRCA","TP","RSEM",4613
"TCGA-AC-A23H","MYCN","6.13933237355",0.084721823925,"BRCA","NT","RSEM",4613
"TCGA-AC-A23H","MYCL1","7.56862955604",-0.127368218935,"BRCA","TP","RSEM",4610
"TCGA-AC-A23H","MYCL1","7.13199068016",-0.294761579918,"BRCA","NT","RSEM",4610
"TCGA-AC-A23H","MYC","6.63059476619",-1.08204040916,"BRCA","TP","RSEM",4609
"TCGA-AC-A23H","MYC","11.156169117",-0.0538013976785,"BRCA","NT","RSEM",4609
"TCGA-AC-A23H","PRKAA2","10.0198146206",1.1406153741,"BRCA","TP","RSEM",5563
"TCGA-AC-A23H","PRKAA2","8.01513234009",-0.177150063181,"BRCA","NT","RSEM",5563
"TCGA-AC-A23H","RB1","10.1749156984",-0.033018382792,"BRCA","TP","RSEM",5925
"TCGA-AC-A23H","RB1","10.524308005",0.563858054492,"BRCA","NT","RSEM",5925
"TCGA-AC-A23H","STK11","9.48483638486",-0.602794046263,"BRCA","TP","RSEM",6794
"TCGA-AC-A23H","STK11","8.60208900033",-1.29913233558,"BRCA","NT","RSEM",6794
"TCGA-AC-A23H","TP53","11.2095882464",0.775421244535,"BRCA","TP","RSEM",7157
"TCGA-AC-A23H","TP53","10.7954397677",0.106892125847,"BRCA","NT","RSEM",7157
"TCGA-BH-A18J","AKT3","8.50280515721",-0.416272182038,"BRCA","TP","RSEM",10000
"TCGA-BH-A18J","AKT3","10.1399889547",0.588393593656,"BRCA","NT","RSEM",10000
"TCGA-BH-A18J","AKT2","11.3079744419",-0.202530310765,"BRCA","TP","RSEM",208
"TCGA-BH-A18J","AKT2","11.3653088023",-0.122334611858,"BRCA","NT","RSEM",208
"TCGA-BH-A18J","AKT1","12.5811643493",0.778645180224,"BRCA","TP","RSEM",207
"TCGA-BH-A18J","AKT1","11.608302603",-0.676949932067,"BRCA","NT","RSEM",207
"TCGA-BH-A18J","IKBKB","9.78413897705",-0.690239073492,"BRCA","TP","RSEM",3551
"TCGA-BH-A18J","IKBKB","10.6802012667",-0.0605306442064,"BRCA","NT","RSEM",3551
"TCGA-BH-A18J","MYCN","2.73113978625",-0.351701130216,"BRCA","TP","RSEM",4613
"TCGA-BH-A18J","MYCN","1.83394254441",-0.372717264361,"BRCA","NT","RSEM",4613
"TCGA-BH-A18J","MYCL1","9.35049326906",1.43582745481,"BRCA","TP","RSEM",4610
"TCGA-BH-A18J","MYCL1","7.96835345534",0.0772729640074,"BRCA","NT","RSEM",4610
"TCGA-BH-A18J","MYC","8.83194277646",-0.914070829865,"BRCA","TP","RSEM",4609
"TCGA-BH-A18J","MYC","12.5020366859",1.60352565691,"BRCA","NT","RSEM",4609
"TCGA-BH-A18J","PRKAA2","7.34430123478",-0.33978448859,"BRCA","TP","RSEM",5563
"TCGA-BH-A18J","PRKAA2","7.79971161333",-0.237814030818,"BRCA","NT","RSEM",5563
"TCGA-BH-A18J","RB1","10.0865927187",-0.162369177618,"BRCA","NT","RSEM",5925
"TCGA-BH-A18J","RB1","10.2410211912",0.0691101068978,"BRCA","TP","RSEM",5925
"TCGA-BH-A18J","STK11","9.42499575747",-0.664612355378,"BRCA","TP","RSEM",6794
"TCGA-BH-A18J","STK11","9.78010254577",-0.257244656203,"BRCA","NT","RSEM",6794
"TCGA-BH-A18J","TP53","10.9485258025",0.331963141416,"BRCA","TP","RSEM",7157
"TCGA-BH-A18J","TP53","10.5758155636",-0.177018248834,"BRCA","NT","RSEM",7157
"TCGA-A8-A06Z","AKT3","7.21126242329",-0.697827808144,"BRCA","TP","RSEM",10000
"TCGA-A8-A06Z","AKT2","11.6561602555",0.337414791186,"BRCA","TP","RSEM",208
"TCGA-A8-A06Z","AKT1","11.6546874885",-0.627548635557,"BRCA","TP","RSEM",207
"TCGA-A8-A06Z","IKBKB","10.0437628022",-0.546034258718,"BRCA","TP","RSEM",3551
"TCGA-A8-A06Z","MYCN","2.662820736",-0.353800214613,"BRCA","TP","RSEM",4613
"TCGA-A8-A06Z","MYCL1","6.96148442285",-0.347553582414,"BRCA","TP","RSEM",4610
"TCGA-A8-A06Z","MYC","9.35380140464",-0.820530070536,"BRCA","TP","RSEM",4609
"TCGA-A8-A06Z","PRKAA2","10.4520331107",1.7536925529,"BRCA","TP","RSEM",5563
"TCGA-A8-A06Z","RB1","10.2057026047",0.013963420728,"BRCA","TP","RSEM",5925
"TCGA-A8-A06Z","STK11","9.78508410477",-0.250786686126,"BRCA","TP","RSEM",6794
"TCGA-A8-A06Z","TP53","7.89395067342",-1.63457169885,"BRCA","TP","RSEM",7157
"TCGA-A8-A06T","AKT3","7.7004993668",-0.619324534128,"BRCA","TP","RSEM",10000
"TCGA-A8-A06T","AKT2","11.4985645278",0.0768402114675,"BRCA","TP","RSEM",208
"TCGA-A8-A06T","AKT1","12.0648560139",-0.114113822182,"BRCA","TP","RSEM",207
"TCGA-A8-A06T","IKBKB","10.7596893205",0.0165658519037,"BRCA","TP","RSEM",3551
"TCGA-A8-A06T","MYCN","2.48733198713",-0.358757772129,"BRCA","TP","RSEM",4613
"TCGA-A8-A06T","MYCL1","7.27492880004",-0.245435244921,"BRCA","TP","RSEM",4610
"TCGA-A8-A06T","MYC","9.76035569375",-0.720212371482,"BRCA","TP","RSEM",4609
"TCGA-A8-A06T","PRKAA2","1.90238235056",-0.608189523555,"BRCA","TP","RSEM",5563
"TCGA-A8-A06T","RB1","8.8656837885",-1.33223187538,"BRCA","TP","RSEM",5925
"TCGA-A8-A06T","STK11","9.23521055685",-0.84453791659,"BRCA","TP","RSEM",6794
"TCGA-A8-A06T","TP53","10.6448045402",-0.0924455858432,"BRCA","TP","RSEM",7157
"TCGA-S3-AA10","AKT3","7.93414374935",-0.571337501991,"BRCA","TP","RSEM",10000
"TCGA-S3-AA10","AKT2","11.652421825",0.330898222593,"BRCA","TP","RSEM",208
"TCGA-S3-AA10","AKT1","11.4325054672",-0.850402955599,"BRCA","TP","RSEM",207
"TCGA-S3-AA10","IKBKB","10.4984687914",-0.22162483503,"BRCA","TP","RSEM",3551
"TCGA-S3-AA10","MYCN","8.52161300191",2.11486589175,"BRCA","TP","RSEM",4613
"TCGA-S3-AA10","MYCL1","8.3097573621",0.30304850589,"BRCA","TP","RSEM",4610
"TCGA-S3-AA10","MYC","13.4801119801",4.25334573393,"BRCA","TP","RSEM",4609
"TCGA-S3-AA10","PRKAA2","7.54480296551",-0.298823559014,"BRCA","TP","RSEM",5563
"TCGA-S3-AA10","RB1","10.2205104981",0.036920322732,"BRCA","TP","RSEM",5925
"TCGA-S3-AA10","STK11","10.3000551812",0.552882335381,"BRCA","TP","RSEM",6794
"TCGA-S3-AA10","TP53","9.59565526352",-1.02837967758,"BRCA","TP","RSEM",7157
"TCGA-E9-A1N3","AKT3","7.73653384816",-0.612420858876,"BRCA","TP","RSEM",10000
"TCGA-E9-A1N3","AKT2","11.3823736135",-0.0978434304146,"BRCA","TP","RSEM",208
"TCGA-E9-A1N3","AKT1","12.6925145313",1.01675685696,"BRCA","TP","RSEM",207
"TCGA-E9-A1N3","IKBKB","10.5479725101",-0.179734198666,"BRCA","TP","RSEM",3551
"TCGA-E9-A1N3","MYCN","2.42220608448",-0.360449479678,"BRCA","TP","RSEM",4613
"TCGA-E9-A1N3","MYCL1","4.0322683836",-0.713117011994,"BRCA","TP","RSEM",4610
"TCGA-E9-A1N3","MYC","11.413741045",0.156305729963,"BRCA","TP","RSEM",4609
"TCGA-E9-A1N3","PRKAA2","9.79588575643",0.888281948226,"BRCA","TP","RSEM",5563
"TCGA-E9-A1N3","RB1","10.3186312667",0.195139890538,"BRCA","TP","RSEM",5925
"TCGA-E9-A1N3","STK11","9.85333185852",-0.160029400225,"BRCA","TP","RSEM",6794
"TCGA-E9-A1N3","TP53","10.2925839171",-0.48479331452,"BRCA","TP","RSEM",7157
"TCGA-LL-A6FP","AKT3","4.63607933828",-0.859655997716,"BRCA","TP","RSEM",10000
"TCGA-LL-A6FP","AKT2","12.5767694092",2.58583030012,"BRCA","TP","RSEM",208
